Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Carvacrol,CC(c1ccc(c(c1)O)C)C,C10H14O,150.22,11,6,0.40,1,1,1,48.01,20.23,2.32,3.49,2.82,2.76,2.79,2.84,-3.31,7.40e-02,4.92e-04,Soluble,-3.60,3.79e-02,2.53e-04,Soluble,-3.01,1.46e-01,9.71e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-4.74,0,1,0,0,2,0.55,0,0,1,1.00
Eugenol,C=CCc1ccc(c(c1)OC)O,C10H12O2,164.20,12,6,0.20,3,2,1,49.06,29.46,2.46,2.27,2.13,2.01,2.48,2.27,-2.46,5.69e-01,3.47e-03,Soluble,-2.53,4.90e-01,2.98e-03,Soluble,-2.79,2.65e-01,1.61e-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.69,0,0,0,0,1,0.55,0,1,1,1.58
Methyl_eugenol,C=CCc1ccc(c(c1)OC)OC,C11H14O2,178.23,13,6,0.27,4,2,0,53.53,18.46,2.76,2.52,2.43,2.30,3.00,2.60,-2.61,4.37e-01,2.45e-03,Soluble,-2.55,4.98e-01,2.79e-03,Soluble,-3.50,5.62e-02,3.16e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.60,0,0,0,0,1,0.55,0,1,1,1.71
Isoeugenol,C/C=C/c1ccc(c(c1)OC)O,C10H12O2,164.20,12,6,0.20,2,2,1,49.86,29.46,2.54,3.04,2.33,2.01,2.31,2.44,-3.01,1.60e-01,9.74e-04,Soluble,-3.32,7.78e-02,4.74e-04,Soluble,-2.42,6.27e-01,3.82e-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.14,0,0,0,0,1,0.55,0,0,1,1.81
beta-Caryophyllene,C/C/1=C\CCC(=C)[C@@H]2[C@@H](CC1)C(C2)(C)C,C15H24,204.35,15,0,0.73,0,0,0,68.78,0.00,3.50,4.38,4.73,4.63,4.19,4.29,-3.87,2.78e-02,1.36e-04,Soluble,-4.10,1.64e-02,8.01e-05,Moderately soluble,-3.77,3.49e-02,1.71e-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.44,1,0,0,0,1,0.55,0,1,2,4.51
delta-Cadinene,CC1=C[C@@H]2C(=C(C)CC[C@H]2C(C)C)CC1,C15H24,204.35,15,0,0.73,1,0,0,69.04,0.00,3.67,3.80,4.73,4.63,4.12,4.19,-3.43,7.51e-02,3.67e-04,Soluble,-3.49,6.55e-02,3.20e-04,Soluble,-3.52,6.19e-02,3.03e-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.85,1,0,0,0,1,0.55,0,1,2,4.14
Guaiol,C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(O)(C)C,C15H26O,222.37,16,0,0.87,1,1,1,70.72,20.23,3.42,3.07,3.92,3.67,3.35,3.49,-3.09,1.82e-01,8.19e-04,Soluble,-3.16,1.53e-01,6.89e-04,Soluble,-2.96,2.41e-01,1.08e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.48,0,0,0,0,1,0.55,0,1,1,4.48
Berberine,COc1c(OC)ccc2c1c[n+]1CCc3c(c1c2)cc1c(c3)OCO1,C20H18NO4+,336.36,25,16,0.25,2,4,0,94.87,40.80,-0.99,3.62,3.10,2.19,2.37,2.06,-4.55,9.53e-03,2.83e-05,Moderately soluble,-4.16,2.30e-02,6.85e-05,Moderately soluble,-5.92,4.00e-04,1.19e-06,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-5.78,0,0,0,0,0,0.55,0,1,1,3.14
